date,period,gender_filter,category_code,category_name,rank,product_id,brand,product_name,final_price,original_price,discount_rate,sales_label,viewers,flag,sold_out,image_url,product_url
2026-09-24,DAILY,M,001,상의,1,6948481,트릴리온,[기획] 에센셜 CP 이중지 크롭 긴팔티_7color,19990,39000,49,판매 2.8만개,5.5천명이 보는 중 / 414명이 구매 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20260729/6948481/6948481_17853044768380_500.jpg,https://www.musinsa.com/products/6948481
2026-09-24,DAILY,M,001,상의,2,5453617,수아레,(XXL 추가) 데일리 헨리넥 니트 - 5 COLOR,33000,59000,44,판매 15만개,1.8천명이 보는 중 / 102명이 구매 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20250912/5453617/5453617_17593914818524_500.jpg,https://www.musinsa.com/products/5453617
2026-09-24,DAILY,M,001,상의,3,4884577,더니트컴퍼니,수피마 쿨맥스 롱슬리브 3color,9900,36900,73,판매 2.7천개,1.7천명이 보는 중 / 196명이 구매 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20250312/4884577/4884577_17845922555551_500.jpg,https://www.musinsa.com/products/4884577
2026-09-24,DAILY,M,001,상의,4,7072533,데이,세미크롭 골지 긴팔 헨리넥 티셔츠_5 COLOR,29500,42500,31,급상승,2.2천명이 보는 중 / 104명이 구매 중,급상승 라벨,False,https://image.msscdn.net/images/goods_img/20260813/7072533/7072533_17884180644235_500.jpg,https://www.musinsa.com/products/7072533
2026-09-24,DAILY,M,001,상의,5,7220362,알리스,데님 레이어드 크롭 니트 풀오버 [미드블루],59280,74000,20,급상승,1.2천명이 보는 중 / 39명이 구매 중,급상승 라벨,False,https://image.msscdn.net/images/goods_img/20260901/7220362/7220362_17883484507047_500.jpg,https://www.musinsa.com/products/7220362
2026-09-24,DAILY,M,001,상의,6,7109260,수아레,[젠플록스X수아레] 데일리 라운드 크롭 가디건 - 5 COLOR,31270,59000,47,급상승,1.3천명이 보는 중 / 65명이 구매 중,급상승 라벨,False,https://image.msscdn.net/images/goods_img/20260819/7109260/7109260_17881382407417_500.jpg,https://www.musinsa.com/products/7109260
2026-09-24,DAILY,M,001,상의,7,5369031,마인드브릿지,와플 헨리넥 데일리 티셔츠 - 4color,27900,59900,53,판매 8.2천개,1.3천명이 보는 중 / 43명이 구매 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20250827/5369031/5369031_17754535282278_500.jpg,https://www.musinsa.com/products/5369031
2026-09-24,DAILY,M,001,상의,8,2149254,무신사 스탠다드,베이식 긴소매 티셔츠 2팩,26990,39800,32,판매 45만개,1.2천명이 보는 중 / 81명이 구매 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20210928/2149254/2149254_17138588137724_500.jpg,https://www.musinsa.com/products/2149254
2026-09-24,DAILY,M,001,상의,9,4711529,로템버,[데일리룸 X 로템버] 오디너리 크롭 스트라이프 셔츠 [WHITE] 단품/SET,44400,74000,40,판매 2.1만개,674명이 보는 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20250110/4711529/4711529_17727599688374_500.jpg,https://www.musinsa.com/products/4711529
2026-09-24,DAILY,M,001,상의,10,7220361,알리스,울 브러쉬드 스트라이프 라운드 크롭 니트 [버건디],46200,66000,30,,286명이 보는 중,none,False,https://image.msscdn.net/images/goods_img/20260901/7220361/7220361_17883446738719_500.jpg,https://www.musinsa.com/products/7220361
2026-09-24,DAILY,M,001,상의,11,5251265,리메인세컨드,오버핏 플란넬 포켓 체크 셔츠 [딥블루],21900,43500,50,판매 9.2천개,1.3천명이 보는 중 / 34명이 구매 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20250716/5251265/5251265_17872912962879_500.jpg,https://www.musinsa.com/products/5251265
2026-09-24,DAILY,M,001,상의,12,2723767,수아레,(XXL 추가) 데일리 라운드 니트 - 12 COLOR,23150,49000,53,판매 29만개,1.9천명이 보는 중 / 92명이 구매 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20220818/2723767/2723767_17292130151891_500.jpg,https://www.musinsa.com/products/2723767
2026-09-24,DAILY,M,001,상의,13,7074174,트릴리온,워셔블 브이넥 레이어드 긴팔 니트_4color,33990,57000,40,급상승,4.6천명이 보는 중 / 94명이 구매 중,급상승 라벨,False,https://image.msscdn.net/images/prd_img/20260813/7074174/detail_7074174_17876438095838_500.jpg,https://www.musinsa.com/products/7074174
