date,period,gender_filter,rank,clothing_rank,category_code,category_name,product_id,brand,product_name,final_price,original_price,discount_rate,sales_label,viewers,flag,sold_out,image_url,product_url
2026-09-27,MONTHLY,M,1,1,001,상의,6948481,트릴리온,[기획] 에센셜 CP 이중지 크롭 긴팔티_7color,19990,39000,49,판매 3.2만개,2.3천명이 보는 중 / 141명이 구매 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20260729/6948481/6948481_17853044768380_500.jpg,https://www.musinsa.com/products/6948481
2026-09-27,MONTHLY,M,3,2,002,아우터,5329359,아디다스,후드 집업 - 블랙:크림화이트 / KC9315,94990,119000,20,판매 2.6만개,1.8천명이 보는 중 / 42명이 구매 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20250818/5329359/5329359_17569461399483_500.jpg,https://www.musinsa.com/products/5329359
2026-09-27,MONTHLY,M,7,3,002,아우터,5880366,아디다스,클래식 트랙탑 - 블랙:화이트 / KE3527,109000,109000,0,판매 1만개,68명이 보는 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20260109/5880366/5880366_17681851101604_500.jpg,https://www.musinsa.com/products/5880366
2026-09-27,MONTHLY,M,8,4,002,아우터,5532467,수아레,(컬러 추가) 라이트 시어쉘 패딩 점퍼 - 6 COLOR,64350,165000,61,판매 4.2만개,2천명이 보는 중 / 60명이 구매 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20250925/5532467/5532467_17875486261088_500.jpg,https://www.musinsa.com/products/5532467
2026-09-27,MONTHLY,M,9,5,002,아우터,7108774,디미트리블랙,[10주년기획] © 모두의 Comfortemp® 미드웨이트 패딩_4 COLOR,69900,133400,48,판매 5.4천개,1.3천명이 보는 중 / 32명이 구매 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20260819/7108774/7108774_17885055232191_500.jpg,https://www.musinsa.com/products/7108774
2026-09-27,MONTHLY,M,12,6,001,상의,7220362,알리스,데님 레이어드 크롭 니트 풀오버 [미드블루],59280,74000,20,판매 2.9천개,924명이 보는 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20260901/7220362/7220362_17883484507047_500.jpg,https://www.musinsa.com/products/7220362
2026-09-27,MONTHLY,M,13,7,002,아우터,5943431,아디다스,와플 클래식 트랙탑 - 원더화이트 / KQ6864,108990,129000,16,판매 1만개,405명이 보는 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20260127/5943431/5943431_17745057757383_500.jpg,https://www.musinsa.com/products/5943431
2026-09-27,MONTHLY,M,14,8,003,바지,5682006,텍스,[린넨 라이크/사계절용선택] TX304 커브드 배기 벌룬 데님 (블랙),28650,85000,66,판매 2.4만개,1.8천명이 보는 중 / 33명이 구매 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20251104/5682006/5682006_17808938363291_500.jpg,https://www.musinsa.com/products/5682006
2026-09-27,MONTHLY,M,15,9,002,아우터,4945148,아디다스,아디컬러 클래식 트랙탑 (와플) - 원더화이트 / JW0109,109650,129000,15,판매 2.8만개,216명이 보는 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20250326/4945148/4945148_17453139295013_500.jpg,https://www.musinsa.com/products/4945148
2026-09-27,MONTHLY,M,16,10,002,아우터,4356794,무신사 스탠다드,[시티 레저] 후디드 라이트 다운 재킷 [블랙],76990,109900,30,판매 2.5만개,640명이 보는 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20240822/4356794/4356794_17890558965193_500.jpg,https://www.musinsa.com/products/4356794
2026-09-27,MONTHLY,M,19,11,003,바지,1149329,무신사 스탠다드,세미 와이드 히든 밴딩 슬랙스 [블랙],45990,49900,8,판매 50만개,164명이 보는 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20190910/1149329/1149329_17775152531848_500.jpg,https://www.musinsa.com/products/1149329
2026-09-27,MONTHLY,M,24,12,002,아우터,7219758,아웃스탠딩,[MUT lab] 60S ROUGHOUT TRUCKER JACKET_TOBACCO,548000,548000,0,,117명이 보는 중,none,False,https://image.msscdn.net/images/goods_img/20260901/7219758/7219758_17893468824683_500.jpg,https://www.musinsa.com/products/7219758
2026-09-27,MONTHLY,M,25,13,002,아우터,7140447,드로우핏,[너드킹X드로우핏] 몰스킨 코튼 블루종 자켓 [3color],139200,174000,20,판매 1.7천개,143명이 보는 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20260824/7140447/7140447_17883950783764_500.jpg,https://www.musinsa.com/products/7140447
2026-09-27,MONTHLY,M,29,14,003,바지,1168906,무신사 스탠다드,와이드 히든 밴딩 슬랙스 [블랙],45990,49900,8,판매 41만개,136명이 보는 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20190927/1168906/1168906_17224121763738_500.jpg,https://www.musinsa.com/products/1168906
2026-09-27,MONTHLY,M,31,15,003,바지,7118499,다이브인,[DIVEIN X 무민서] WASHED VERN CARGO PANTS (BLACK),119000,119000,0,판매 1.1천개,329명이 보는 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20260820/7118499/7118499_17882311916649_500.jpg,https://www.musinsa.com/products/7118499
2026-09-27,MONTHLY,M,32,16,001,상의,7072533,데이,세미크롭 골지 긴팔 헨리넥 티셔츠_5 COLOR,29500,42500,31,판매 5.6천개,1.4천명이 보는 중 / 56명이 구매 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20260813/7072533/7072533_17884180644235_500.jpg,https://www.musinsa.com/products/7072533
2026-09-27,MONTHLY,M,35,17,002,아우터,3551101,블랙모먼트,비건 스웨이드 오버핏 미니멀 인시전 스트레이트 집업 자켓 [브라운],39900,139000,71,판매 4.5만개,548명이 보는 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20230912/3551101/3551101_16970790961650_500.jpg,https://www.musinsa.com/products/3551101
2026-09-27,MONTHLY,M,36,18,002,아우터,5329361,아디다스,후드 집업 - 그레이:블랙 / KC9317,94990,119000,20,판매 7.3천개,417명이 보는 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20250818/5329361/5329361_17569461783112_500.jpg,https://www.musinsa.com/products/5329361
2026-09-27,MONTHLY,M,37,19,002,아우터,6982363,필루미네이트,헤비 코튼 세미 크롭 후드 집 업-3Color,38900,69000,44,판매 4천개,421명이 보는 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20260803/6982363/6982363_17881563763787_500.jpg,https://www.musinsa.com/products/6982363
2026-09-27,MONTHLY,M,38,20,002,아우터,5614815,데이,크롭 스웨이드 자켓 (2 STYLE),45570,85000,46,판매 8.7천개,1.1천명이 보는 중 / 35명이 구매 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20251020/5614815/5614815_17694826603380_500.jpg,https://www.musinsa.com/products/5614815
2026-09-27,MONTHLY,M,41,21,002,아우터,6917752,무신사 스탠다드,[시티 레저] 시어 후디드 라이트 다운 재킷 (9 colors),125890,139900,10,판매 3천개,2천명이 보는 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20260724/6917752/6917752_17890189553548_500.jpg,https://www.musinsa.com/products/6917752
2026-09-27,MONTHLY,M,42,22,002,아우터,5874490,아디다스,플레더 3S 트랙탑 - 블랙 / KQ5472,140270,169000,17,판매 2.8천개,118명이 보는 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20260107/5874490/5874490_17678506506569_500.jpg,https://www.musinsa.com/products/5874490
2026-09-27,MONTHLY,M,45,23,003,바지,1551840,제로,Deep One Tuck Sweat Pants [Grey],27300,39000,30,판매 63만개,511명이 보는 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20200818/1551840/1551840_1_500.jpg,https://www.musinsa.com/products/1551840
2026-09-27,MONTHLY,M,46,24,003,바지,2578996,시그니처,더블턱 와이드 슬랙스[블랙],29000,59000,51,판매 13만개,586명이 보는 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20220524/2578996/2578996_17870331293023_500.jpg,https://www.musinsa.com/products/2578996
2026-09-27,MONTHLY,M,48,25,002,아우터,3783092,디미트리블랙,[크롭선택] ASI 포시즌 에센셜 후드 집업_피그먼트 차콜,33900,60900,44,판매 11만개,692명이 보는 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20240109/3783092/3783092_17708794030062_500.jpg,https://www.musinsa.com/products/3783092
2026-09-27,MONTHLY,M,51,26,002,아우터,2737014,프리즘웍스,VINCENT M1965 FISHTAIL PARKA 004 _ OLIVE,197100,219000,10,판매 1.7만개,422명이 보는 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20220823/2737014/2737014_1_500.jpg,https://www.musinsa.com/products/2737014
2026-09-27,MONTHLY,M,53,27,001,상의,7032979,알리스,[패션플래닛 X 알리스] 레이어드 헨리넥 크롭 니트 티_3COLOR,48440,69000,30,판매 3.5천개,366명이 보는 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20260810/7032979/7032979_17872945342697_500.png,https://www.musinsa.com/products/7032979
2026-09-27,MONTHLY,M,54,28,003,바지,3070218,커스텀어클락,데님 원턱 와이드 팬츠 11 COLOR COOSPT201,19900,49000,59,판매 2.5만개,591명이 보는 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20230208/3070218/3070218_17847883628803_500.jpg,https://www.musinsa.com/products/3070218
2026-09-27,MONTHLY,M,55,29,003,바지,2112061,가까이 유니언즈,[여름 or 기모 or 사계절 원단 선택] 원턱 와이드 스웨트팬츠 블랙,23400,52000,55,판매 32만개,469명이 보는 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20210906/2112061/2112061_17459952841713_500.jpg,https://www.musinsa.com/products/2112061
2026-09-27,MONTHLY,M,56,30,003,바지,5866558,어널러코드,브루니 커브드 데님팬츠 (생지),44800,56000,20,판매 1.4만개,558명이 보는 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20260102/5866558/5866558_17673383555799_500.jpg,https://www.musinsa.com/products/5866558
2026-09-27,MONTHLY,M,57,31,003,바지,7161034,디미트리블랙,VLAD 원턱 커브드 트랙 스웻 팬츠_(3심볼) 3 COLOR,28900,49200,41,판매 3.1천개,2천명이 보는 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20260825/7161034/7161034_17879099065615_500.jpg,https://www.musinsa.com/products/7161034
2026-09-27,MONTHLY,M,59,32,002,아우터,5311114,언탭트 스튜디오,2WAY 비건 스웨이드 블루종 자켓 3Color,44660,81200,45,판매 2.3만개,886명이 보는 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20250811/5311114/5311114_17890239121962_500.jpg,https://www.musinsa.com/products/5311114
2026-09-27,MONTHLY,M,60,33,002,아우터,6024471,폴로 랄프 로렌,트윌 재킷-미디움 베이지,436050,459000,5,판매 2.3천개,137명이 보는 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20260213/6024471/6024471_17721810823643_500.jpg,https://www.musinsa.com/products/6024471
2026-09-27,MONTHLY,M,61,34,003,바지,7118493,다이브인,[DIVEIN X 무민서] WASHED VERN CARGO PANTS (KHAKI),119000,119000,0,,236명이 보는 중,none,False,https://image.msscdn.net/images/goods_img/20260820/7118493/7118493_17882312601833_500.jpg,https://www.musinsa.com/products/7118493
